method,density_p90,density_paper,accuracy,n_actions,n_merges
HOPE,1.0,0.805707,0.9163,0,0
HOPE,0.979764,0.789402,0.9154,48,0
HOPE,0.959949,0.773438,0.9145,95,0
HOPE,0.939713,0.757133,0.911,143,0
HOPE,0.919899,0.741168,0.9095,190,0
HOPE,0.899663,0.724864,0.9068,238,0
HOPE,0.879848,0.708899,0.9058,285,0
HOPE,0.859612,0.692595,0.9012,333,0
HOPE,0.839798,0.67663,0.8932,380,0
HOPE,0.819983,0.660666,0.886,427,0
HOPE,0.799747,0.644361,0.8824,475,0
HOPE,0.779933,0.628397,0.8803,522,0
HOPE,0.759696,0.612092,0.8791,570,0
HOPE,0.739882,0.596128,0.8643,617,0
HOPE,0.719646,0.579823,0.8588,665,0
HOPE,0.699831,0.563859,0.8532,712,0
HOPE,0.679595,0.547554,0.8416,760,0
HOPE,0.659781,0.53159,0.8312,807,0
HOPE,0.639966,0.515625,0.8143,854,0
HOPE,0.61973,0.499321,0.8022,902,0
HOPE,0.599916,0.483356,0.7734,949,0
HOPE,0.57968,0.467052,0.7408,997,0
HOPE,0.559865,0.451087,0.7111,1044,0
HOPE,0.539629,0.434783,0.6341,1092,0
HOPE,0.519815,0.418818,0.5581,1139,0
HOPE,0.499578,0.402514,0.4942,1187,0
HOPE,0.479764,0.386549,0.3948,1234,0
HOPE,0.459949,0.370584,0.1982,1281,0
HOPE,0.439713,0.35428,0.1,1329,0
HOPE,0.419899,0.338315,0.1,1376,0
HOPE,0.399663,0.322011,0.1,1424,0
HOPE,0.379848,0.306046,0.1,1471,0
HOPE,0.359612,0.289742,0.1,1519,0
HOPE,0.339798,0.273777,0.1,1566,0
HOPE,0.319983,0.257812,0.1,1613,0
HOPE,0.299747,0.241508,0.1,1661,0
L1-input,1.0,0.805707,0.9163,0,0
L1-input,0.979764,0.789402,0.8781,48,0
L1-input,0.959949,0.773438,0.6804,95,0
L1-input,0.939713,0.757133,0.3623,143,0
L1-input,0.919899,0.741168,0.1053,190,0
L1-input,0.899663,0.724864,0.1011,238,0
L1-input,0.879848,0.708899,0.1,285,0
L1-input,0.859612,0.692595,0.1,333,0
L1-input,0.839798,0.67663,0.1,380,0
L1-input,0.819983,0.660666,0.1,427,0
L1-input,0.799747,0.644361,0.1,475,0
L1-input,0.779933,0.628397,0.1,522,0
L1-input,0.759696,0.612092,0.1,570,0
L1-input,0.739882,0.596128,0.1,617,0
L1-input,0.719646,0.579823,0.1,665,0
L1-input,0.699831,0.563859,0.1,712,0
L1-input,0.679595,0.547554,0.1,760,0
L1-input,0.659781,0.53159,0.1,807,0
L1-input,0.639966,0.515625,0.1,854,0
L1-input,0.61973,0.499321,0.1,902,0
L1-input,0.599916,0.483356,0.1,949,0
L1-input,0.57968,0.467052,0.1,997,0
L1-input,0.559865,0.451087,0.1,1044,0
L1-input,0.539629,0.434783,0.1039,1092,0
L1-input,0.519815,0.418818,0.1,1139,0
L1-input,0.499578,0.402514,0.1,1187,0
L1-input,0.479764,0.386549,0.1,1234,0
L1-input,0.459949,0.370584,0.1,1281,0
L1-input,0.439713,0.35428,0.1,1329,0
L1-input,0.419899,0.338315,0.1,1376,0
L1-input,0.399663,0.322011,0.1,1424,0
L1-input,0.379848,0.306046,0.1,1471,0
L1-input,0.359612,0.289742,0.1,1519,0
L1-input,0.339798,0.273777,0.1,1566,0
L1-input,0.319983,0.257812,0.1,1613,0
L1-input,0.299747,0.241508,0.1,1661,0
L1-joint,1.0,0.805707,0.9163,0,0
L1-joint,0.979764,0.789402,0.9167,48,0
L1-joint,0.959949,0.773438,0.916,95,0
L1-joint,0.939713,0.757133,0.8895,143,0
L1-joint,0.919899,0.741168,0.6573,190,0
L1-joint,0.899663,0.724864,0.1338,238,0
L1-joint,0.879848,0.708899,0.1227,285,0
L1-joint,0.859612,0.692595,0.141,333,0
